"datetime","host","id","method","p_metadata","p_tags","p_timestamp","referrer","status","user-identifier"
"2024-07-12T14:42:59.972Z","frontend","jdjrkttshseyflxu","POST","state=error","environment=testing","2024-07-12T14:42:59.972","http://www.amazon.com/","404","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0"
"2024-07-12T14:42:59.871Z","frontend","lzhfxrqjyzxubcgv","PATCH","state=warn","environment=production","2024-07-12T14:42:59.872","http://www.linkedin.com/","200","Mozilla/5.0 (Macintosh; Intel Mac OS X 12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15"
"2024-07-12T14:42:59.772Z","frontend","srmgfeocyhgynvwh","DELETE","state=fatal","environment=testing","2024-07-12T14:42:59.772","http://www.facebook.com/","503","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/91.0.4516.20"
"2024-07-12T14:42:59.672Z","frontend","bykhjclswigfhqfv","PATCH","state=warn","environment=testing","2024-07-12T14:42:59.672","http://www.twitter.com/","404","Mozilla/5.0 (Macintosh; Intel Mac OS X 12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15"
"2024-07-12T14:42:59.572Z","frontend","qxmzntqiqncyjdsd","GET","state=info","environment=development","2024-07-12T14:42:59.572","http://www.twitter.com/","503","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0"
"2024-07-12T14:42:59.471Z","frontend","ilhdkrrscobmcvqp","POST","state=warn","environment=production","2024-07-12T14:42:59.472","http://www.amazon.com/","200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 Edg/105.0.1343.53"
"2024-07-12T14:42:59.372Z","frontend","ldpuvbslwgrmrtcr","DELETE","state=warn","environment=testing","2024-07-12T14:42:59.372","http://www.linkedin.com/","500","Mozilla/5.0 (Macintosh; Intel Mac OS X 12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15"
"2024-07-12T14:42:59.271Z","frontend","nyjhfolcnzamungx","GET","state=warn","environment=development","2024-07-12T14:42:59.272","http://www.amazon.com/","503","Mozilla/5.0 (Macintosh; Intel Mac OS X 12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15"
"2024-07-12T14:42:59.172Z","frontend","znvikrnnzbdekvge","PATCH","state=warn","environment=production","2024-07-12T14:42:59.172","http://www.facebook.com/","200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 Edg/105.0.1343.53"
"2024-07-12T14:42:59.071Z","frontend","agimlutszijzhunk","PATCH","state=fatal","environment=development","2024-07-12T14:42:59.072","http://www.amazon.com/","503","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/91.0.4516.20"
